"filename", "language", "JSON", "HTML", "TypeScript", "JavaScript", "JSON with Comments", "YAML", "Markdown", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/EditRegionSetResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/GetRegionSetParams.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/GetRegionSetResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/GetRegionSetsForTrackResult.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/GetRegionSetsResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/RemoveRegionSetParams.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/RegionSets/RemoveRegionSetResult.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Regions/CreateRegionParams.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Regions/CreateRegionResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Regions/EditRegionParams.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Regions/EditRegionResult.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/Regions/RemoveRegionParams.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommandResults/BaseCommandResultDto.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommandResults/PauseCommandResultDto copy.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommandResults/PlayCommandResultDto copy.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommandResults/SeekCommandResultDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommandResults/StopCommandResultDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommands/BaseCommandDto.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommands/PauseCommandDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommands/PlayCommandDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/Dtos/SocketCommands/SeekCommandDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
